CTFT id;Family;Species;Specific gravity;Country;Sub-continent;Herbarium occurrence
1;LAURACEAE;Cinnamomum ilicioides A.Chev.;0.51;Vietnam;Asie continentale;0
2;MAGNOLIACEAE;Magnolia tsiampacca (L.) Figlar & Noot.;0.6;Chine;Asie continentale;0
3;MAGNOLIACEAE;Liriodendron chinense Sargent;;Amerique Nord;Amerique du Nord;0
4;MAGNOLIACEAE;Liriodendron tulipifera L.;;France;Europe;0
5;MAGNOLIACEAE;Magnolia obovata Thunb.;0.45;Japon;Asie continentale;0
6;MAGNOLIACEAE;Magnolia kobus DC.;;Japon;Asie continentale;0
7;MAGNOLIACEAE;Magnolia sp;;Vietnam;Asie continentale;0
8;MAGNOLIACEAE;Magnolia fordiana (Oliv.) Hu;0.45;Vietnam;Asie continentale;0
9;MAGNOLIACEAE;Magnolia sp;;Etats-Unis n.p.;Amerique du Nord;0
10;MAGNOLIACEAE;Magnolia blumei Prantl;0.46;Vietnam;Asie continentale;0
11;MAGNOLIACEAE;Magnolia sp;;Vietnam;Asie continentale;0
12;MAGNOLIACEAE;Magnolia champaca (L.) Baill. ex Pierre;;Reunion;Ocean Indien;0
13;MAGNOLIACEAE;Magnolia hypolampra (Dandy) Figlar;0.59;Vietnam;Asie continentale;0
14;MAGNOLIACEAE;Magnolia hypolampra (Dandy) Figlar;;Vietnam;Asie continentale;0
15;MAGNOLIACEAE;Magnolia hypolampra (Dandy) Figlar;;Vietnam;Asie continentale;0
16;MAGNOLIACEAE;Magnolia dodecapetala (Lam.) Govaerts;0.62;Antilles françaises;Amerique Centrale et Antilles;0
17;CANELLACEAE;Cinnamosma madagascariensis Danguy;0.99;Madagascar;Ocean Indien;1
18;CERCIDIPHYLLACEAE;Cercidiphyllum japonicum Siebold & Zucc.;;Japon;Asie continentale;0
19;ANNONACEAE;Guatteria caribaea Urb.;;Antilles françaises;Amerique Centrale et Antilles;0
20;ANNONACEAE;Annona reticulata L.;0.52;Antilles françaises;Amerique Centrale et Antilles;0
21;ANNONACEAE;Anonidium mannii Engl. & Diels;0.33;Cameroun;Afrique;1
22;ANNONACEAE;Anonidium mannii Engl. & Diels;0.37;Cameroun;Afrique;1
23;ANNONACEAE;Fenerivia oligosperma (Danguy) R.M.K.Saunders;;Madagascar;Ocean Indien;0
24;ANNONACEAE;Fenerivia oligosperma (Danguy) R.M.K.Saunders;0.52;Madagascar;Ocean Indien;1
25;ANNONACEAE;Fissistigma latifolium (Dunal) Merr,;0.33;Vietnam;Asie continentale;0
26;ANNONACEAE;Cleistopholis glauca Pierre;0.42;Cameroun;Afrique;1
27;ANNONACEAE;Cleistopholis patens (Benth.) Engl. & Diels;0.3;Gabon;Afrique;0
28;ANNONACEAE;Cleistopholis patens (Benth.) Engl. & Diels;0.28;Gabon;Afrique;0
29;ANNONACEAE;Cleistopholis patens (Benth.) Engl. & Diels;0.29;Congo;Afrique;1
30;ANNONACEAE;Cleistopholis staudtii Engl. & Diels;0.35;Congo;Afrique;1
31;ANNONACEAE;Cleistopholis staudtii Engl. & Diels;0.31;Cameroun;Afrique;1
32;ANNONACEAE;Cleistopholis staudtii Engl. & Diels;0.37;Gabon;Afrique;0
33;ANNONACEAE;Annickia chlorantha (Oliv.) Setten & Maas;0.53;Gabon;Afrique;0
